time,open,high,low,close,tick_volume,spread,real_volume
2024-10-30 01:30:00,2773.57,2774.09,2773.36,2774.05,1017,25,0
2024-10-30 01:45:00,2774.06,2775.1,2773.96,2774.95,1740,25,0
2024-10-30 02:00:00,2774.95,2778.7,2774.78,2778.43,5220,25,0
2024-10-30 02:15:00,2778.43,2778.82,2777.2,2777.31,2580,25,0
2024-10-30 02:30:00,2777.31,2778.96,2776.81,2777.42,3889,25,0
2024-10-30 02:45:00,2777.4,2779.09,2777.4,2778.05,4401,25,0
2024-10-30 03:00:00,2778.05,2779.75,2776.9,2777.96,9854,25,0
2024-10-30 03:15:00,2777.97,2778.37,2776.9,2777.19,7054,25,0
2024-10-30 03:30:00,2777.19,2781.63,2776.9,2780.34,9252,25,0
2024-10-30 03:45:00,2780.34,2782.09,2779.72,2781.62,9512,25,0
2024-10-30 04:00:00,2781.62,2781.79,2779.2,2779.26,7274,25,0
2024-10-30 04:15:00,2779.26,2779.79,2777.35,2777.89,6033,25,0
2024-10-30 04:30:00,2777.9,2778.62,2775.99,2778.25,9808,25,0
2024-10-30 04:45:00,2778.24,2780.81,2778.0,2780.42,6924,25,0
2024-10-30 05:00:00,2780.42,2781.23,2779.15,2780.8,6096,25,0
2024-10-30 05:15:00,2780.8,2780.99,2777.19,2777.56,9343,25,0
2024-10-30 05:30:00,2777.57,2778.89,2777.18,2778.56,5293,25,0
2024-10-30 05:45:00,2778.54,2779.08,2778.18,2778.89,3300,25,0
2024-10-30 06:00:00,2778.9,2779.0,2777.6,2777.89,2447,25,0
2024-10-30 06:15:00,2777.88,2779.03,2777.34,2778.81,2764,25,0
2024-10-30 06:30:00,2778.81,2780.03,2778.72,2779.51,2285,25,0
2024-10-30 06:45:00,2779.51,2780.89,2779.34,2780.11,2587,25,0
2024-10-30 07:00:00,2780.11,2780.31,2777.97,2779.07,3030,25,0
2024-10-30 07:15:00,2779.06,2781.62,2778.81,2781.28,3203,25,0
2024-10-30 07:30:00,2781.27,2783.82,2780.78,2783.42,8434,25,0
2024-10-30 07:45:00,2783.42,2784.87,2782.26,2783.06,7773,25,0
2024-10-30 08:00:00,2783.05,2785.66,2781.17,2785.52,9455,25,0
2024-10-30 08:15:00,2785.51,2787.0,2785.1,2786.31,8979,25,0
2024-10-30 08:30:00,2786.31,2788.59,2786.07,2788.19,8955,25,0
2024-10-30 08:45:00,2788.17,2789.77,2786.75,2787.06,8419,25,0
2024-10-30 09:00:00,2787.05,2788.02,2785.52,2786.38,6633,25,0
2024-10-30 09:15:00,2786.37,2786.91,2783.62,2784.22,6532,25,0
2024-10-30 09:30:00,2784.22,2784.74,2781.39,2781.85,8086,25,0
2024-10-30 09:45:00,2781.85,2782.96,2780.45,2782.23,10110,25,0
2024-10-30 10:00:00,2782.21,2783.83,2781.67,2782.03,10275,25,0
2024-10-30 10:15:00,2782.04,2784.27,2781.83,2783.89,8653,25,0
2024-10-30 10:30:00,2783.88,2784.54,2780.5,2780.68,8043,25,0
2024-10-30 10:45:00,2780.68,2781.92,2779.48,2781.81,6016,25,0
2024-10-30 11:00:00,2781.54,2783.24,2780.19,2781.74,9974,25,0
2024-10-30 11:15:00,2781.73,2782.33,2780.47,2780.82,5579,25,0
2024-10-30 11:30:00,2780.82,2783.05,2780.7,2782.46,5492,25,0
2024-10-30 11:45:00,2782.46,2784.58,2782.11,2784.48,4313,25,0
2024-10-30 12:00:00,2784.49,2785.89,2783.55,2785.87,4900,25,0
2024-10-30 12:15:00,2785.87,2786.42,2784.46,2784.83,5717,25,0
2024-10-30 12:30:00,2784.83,2785.23,2782.03,2782.21,6391,25,0
2024-10-30 12:45:00,2782.21,2783.22,2780.11,2780.12,6635,25,0
2024-10-30 13:00:00,2780.12,2781.27,2778.95,2779.15,6884,25,0
2024-10-30 13:15:00,2779.15,2781.4,2778.75,2781.14,6581,25,0
2024-10-30 13:30:00,2781.15,2781.47,2778.88,2781.33,5458,25,0
2024-10-30 13:45:00,2781.33,2781.97,2778.23,2778.53,7103,25,0
2024-10-30 14:00:00,2778.51,2779.01,2776.95,2777.75,8874,25,0
2024-10-30 14:15:00,2777.7,2778.97,2773.07,2777.91,15877,25,0
2024-10-30 14:30:00,2778.03,2782.36,2776.4,2780.81,16298,25,0
2024-10-30 14:45:00,2780.8,2783.35,2780.8,2782.44,10136,25,0
2024-10-30 15:00:00,2782.42,2787.03,2781.6,2786.96,16561,25,0
2024-10-30 15:15:00,2786.96,2787.44,2779.25,2779.55,17543,25,0
2024-10-30 15:30:00,2779.57,2779.59,2770.85,2775.22,29727,25,0
2024-10-30 15:45:00,2775.23,2779.46,2771.41,2777.39,22197,25,0
2024-10-30 16:00:00,2777.34,2779.39,2775.88,2778.91,17913,25,0
2024-10-30 16:15:00,2778.91,2780.41,2776.64,2777.27,14569,25,0
2024-10-30 16:30:00,2777.26,2780.84,2775.1,2778.73,18923,25,0
2024-10-30 16:45:00,2778.73,2781.7,2777.62,2780.29,17610,25,0
2024-10-30 17:00:00,2780.29,2780.54,2771.9,2774.74,18784,25,0
2024-10-30 17:15:00,2774.73,2780.44,2774.56,2780.21,13422,25,0
2024-10-30 17:30:00,2780.2,2784.44,2779.82,2783.97,12369,25,0
2024-10-30 17:45:00,2783.98,2785.87,2782.68,2784.62,12000,25,0
2024-10-30 18:00:00,2784.63,2786.51,2782.95,2784.88,11895,25,0
2024-10-30 18:15:00,2784.92,2786.1,2784.23,2785.34,9902,25,0
2024-10-30 18:30:00,2785.34,2786.21,2784.4,2785.62,6484,25,0
2024-10-30 18:45:00,2785.62,2787.38,2785.1,2785.33,5620,25,0
2024-10-30 19:00:00,2785.32,2786.65,2783.89,2786.37,5687,25,0
2024-10-30 19:15:00,2786.37,2789.51,2785.63,2788.97,6315,25,0
2024-10-30 19:30:00,2788.97,2789.54,2787.59,2788.84,5397,25,0
2024-10-30 19:45:00,2788.85,2789.26,2787.94,2788.51,4332,25,0
2024-10-30 20:00:00,2788.52,2789.91,2788.5,2788.59,4633,25,0
2024-10-30 20:15:00,2788.57,2789.24,2787.43,2788.14,4335,25,0
2024-10-30 20:30:00,2788.14,2788.75,2787.28,2788.04,3063,25,0
2024-10-30 20:45:00,2788.04,2789.02,2787.55,2787.68,3387,25,0
2024-10-30 21:00:00,2787.69,2788.06,2786.38,2786.86,6025,25,0
2024-10-30 21:15:00,2786.86,2786.86,2785.3,2786.03,4561,25,0
2024-10-30 21:30:00,2786.01,2786.01,2784.39,2784.58,4532,25,0
2024-10-30 21:45:00,2784.58,2787.77,2784.58,2787.31,5861,25,0
2024-10-30 22:00:00,2787.3,2787.76,2786.12,2786.34,4041,25,0
2024-10-30 22:15:00,2786.34,2786.43,2784.73,2785.31,2934,25,0
2024-10-30 22:30:00,2785.29,2787.82,2785.28,2787.8,3825,25,0
2024-10-30 22:45:00,2787.79,2787.95,2786.09,2786.93,3671,25,0
2024-10-31 00:00:00,2787.06,2787.75,2786.35,2787.52,398,40,0
2024-10-31 00:15:00,2787.43,2787.67,2786.09,2786.78,636,25,0
2024-10-31 00:30:00,2786.8,2787.36,2786.5,2787.05,496,25,0
2024-10-31 00:45:00,2787.05,2787.7,2786.74,2787.45,377,25,0
2024-10-31 01:00:00,2787.43,2788.04,2787.11,2787.2,900,25,0
2024-10-31 01:15:00,2787.21,2787.58,2786.41,2786.61,793,25,0
2024-10-31 01:30:00,2786.61,2786.88,2786.28,2786.57,836,25,0
2024-10-31 01:45:00,2786.58,2786.86,2785.14,2785.35,1639,25,0
2024-10-31 02:00:00,2785.37,2786.7,2784.63,2786.66,2841,25,0
2024-10-31 02:15:00,2786.66,2788.13,2785.85,2786.08,2265,25,0
2024-10-31 02:30:00,2786.08,2787.58,2786.06,2787.54,1836,25,0
2024-10-31 02:45:00,2787.53,2787.76,2786.78,2787.51,1863,25,0
2024-10-31 03:00:00,2787.52,2790.01,2787.33,2787.77,6855,25,0
2024-10-31 03:15:00,2787.77,2789.3,2786.84,2788.1,5835,25,0
2024-10-31 03:30:00,2788.1,2789.3,2785.66,2785.95,5582,25,0
2024-10-31 03:45:00,2785.96,2786.47,2783.52,2784.63,8892,25,0
2024-10-31 04:00:00,2784.62,2787.07,2784.35,2784.96,7414,25,0
2024-10-31 04:15:00,2784.97,2785.39,2784.4,2784.89,3240,25,0
2024-10-31 04:30:00,2784.89,2788.95,2784.79,2788.16,5640,25,0
2024-10-31 04:45:00,2788.16,2788.4,2786.31,2787.05,4446,25,0
2024-10-31 05:00:00,2787.04,2788.1,2786.62,2787.82,3709,25,0
2024-10-31 05:15:00,2787.83,2788.35,2785.32,2785.47,4516,25,0
2024-10-31 05:30:00,2785.48,2787.01,2785.38,2785.99,1950,25,0
2024-10-31 05:45:00,2785.99,2786.15,2784.28,2784.57,2561,25,0
2024-10-31 06:00:00,2784.57,2785.34,2783.51,2784.2,3706,25,0
2024-10-31 06:15:00,2784.2,2784.59,2782.05,2782.06,3657,25,0
2024-10-31 06:30:00,2782.04,2784.5,2782.01,2784.07,3201,25,0
2024-10-31 06:45:00,2784.06,2784.98,2783.46,2784.4,2281,25,0
2024-10-31 07:00:00,2784.4,2784.62,2782.6,2782.71,2928,25,0
2024-10-31 07:15:00,2782.72,2786.54,2782.56,2785.08,5858,25,0
2024-10-31 07:30:00,2785.07,2785.28,2782.63,2783.98,6470,25,0
2024-10-31 07:45:00,2783.97,2785.14,2783.3,2785.08,5577,25,0
2024-10-31 08:00:00,2785.07,2785.94,2783.56,2785.42,6725,25,0
2024-10-31 08:15:00,2785.42,2785.97,2784.6,2785.34,4083,25,0
2024-10-31 08:30:00,2785.34,2785.47,2782.18,2783.78,7888,25,0
2024-10-31 08:45:00,2783.79,2784.4,2779.65,2779.76,7047,25,0
2024-10-31 09:00:00,2779.76,2781.59,2778.02,2781.09,9370,25,0
